GA785  Medical Science                                      445                                          
GA786  Forensic Science and Analysis                        310                                          
GA787  Computing in Software Development                    300                                          
GA788  Computing and Digital Media                          300                                          
GA789  Agriculture and Environmental Management  Mountbe   300                                          
GA790  Sport and Exercise Science                           400                                          
GA880  General Nursing  Mayo Campus                        410*                                         
GA881  Mature Applicants General Nursing  Mayo Campus      #175                                         
GA882  Psychiatric Nursing  Mayo Campus                    365*                                         
GA883  Mature Applicants Psychiatric Nursing  Mayo Campu   #164                                         
GA884  Digital Media and Society  Mayo Campus                                                           
GA885  Outdoor Education  Mayo Campus                      240      240                                 
GA886  Business  Mayo Campus                               250      250                                 
GA887  History and Geography  Mayo Campus                                                               
GA889  Applied Social Care  Mayo Campus                    300                                          
GA980  Education Design Graphics and Construction  Let   380                                          
GA981  Furniture Design and Manufacture  Letterfrack Cam   250                                          
GA982  Furniture and Wood Technology  Letterfrack Campus   265                                          
GY101  Arts Joint Honours Degree                            300                                          
GY103  Arts Public and Social Policy                      320                                          
GY104  Arts Psychology                                    495                                          
GY105  Arts History                                       310                                          
GY107  Na Dna Gaeilge agus Lann an Aistrichin         375      360                                 
GY109  Arts Mathematics and Education                     435                                          
GY110  Arts with Childrens Studies                         400      390                                 
GY111  Arts with Creative Writing                           440      425                                 
GY112  Arts with Film Studies                               330      310                                 
GY113  Arts with Human Rights                               330      320                                 
GY114  Arts with Irish Studies                              340                                          
GY115  Arts with Performing Arts Studies                    335                                          
GY117  Arts with Latin American Studies                     350                                          
GY118  Arts Drama  Theatre and Performance Studies        400                                          
GY119  Arts with Journalism                                 410                                          
GY120  Arts Child  Youth and Family Policy and Practice   305                                          
GY121  Arts Childrens Studies                            350      330                                 
GY122  Na Dna Cumarsid agus Gaeilge                     315                                          
GY201  Commerce                                             400      400                                 
GY202  Commerce International with French                 480                                          
GY203  Commerce International with German                 480                                          
GY204  Commerce International with Spanish                480                                          
GY206  Business Information Systems                         430                                          
GY207  Commerce Accounting                                460                                          
GY208  Commerce Gaeilge                                   395                                          
GY209  Commerce Global Experience                         500                                          
GY250  Corporate Law                                        385      380                                 
GY251  Civil Law                                            435      430                                 
GY261  Business Studies in International Hotel Management   #488                                         
GY262  Commerce in International Hotel Management Shanno   #630                                         
GY301  Science                                              400                                          
GY303  Biomedical Science                                   530      525                                 
GY304  Biotechnology                                        440                                          
GY308  Environmental Science                                400                                          
GY309  Financial Mathematics and Economics                  485                                          
GY310  Marine Science                                       405                                          
GY313  Health and Safety Systems                            310                                          
GY314  Earth and Ocean Sciences                             400                                          
GY318  Biopharmaceutical Chemistry                          500                                          
GY319  Mathematical Science                                 455                                          
GY320  Physics Degree options Applied  Astrophysics  Bi   450                                          
GY350  Computer Science and Information Technology          425                                          
GY401  Engineering Undenominated                          445                                          
GY402  Civil Engineering                                    430                                          
GY405  Mechanical Engineering                               430                                          
GY406  Electronic and Computer Engineering                  435                                          
GY408  Biomedical Engineering                               500                                          
GY410  Project and Construction Management                  355                                          
GY413  Energy Systems Engineering                           425                                          
