code,year,points,college,audition,desc
DN057,2009,430, University College Dublin (NUI),False, Arts International French
DN058,2009,325, University College Dublin (NUI),False, Arts International German
DN059,2009,455, University College Dublin (NUI),False, Arts International Spanish
WD135,2009,340, Waterford Institute of Technology,False, Applied Social Studies in Social Care
TA325,2009,245, Institute of Technology Tallaght,False, Bioanalytical Science
TA323,2009,205, Institute of Technology Tallaght,False, Information Technology Management
TA322,2009,225, Institute of Technology Tallaght,False, Computing
TA321,2009,260, Institute of Technology Tallaght,False, Pharmaceutical Science
LM085,2009,460, University of Limerick,False, Civil Engineering
GY108,2009,240, National University of Ireland Galway,False, Na Dna Riarachn Gn at Gaoth Dobhair Co Donegal
GY109,2009,375, National University of Ireland Galway,False, Arts Mathematics and Education
CW248,2009,300, Institute of Technology Carlow,False, Computing Systems Management
GY103,2009,325, National University of Ireland Galway,False, Arts Public and Social Policy
GY104,2009,525, National University of Ireland Galway,False, Arts Psychology
GY105,2009,365, National University of Ireland Galway,False, Arts History
GY106,2009,340, National University of Ireland Galway,False, Na Dna Cumarsid
TR024,2009,510, Trinity College,False, European Studies
MH102,2009,420, Maynooth University,False, Music Technology
TR027,2009,340, Trinity College,False, Irish Studies
DT235,2009,260, Dublin Institute of Technology,False, Physics with Medical Physics and Bioengineering
WD117,2009,360, Waterford Institute of Technology,False, Psychiatric Nursing
CR560,2009,370, Cork Institute of Technology,False, Architectural Technology
TR018,2009,550, Trinity College,False, Law and French
CR565,2009,295, Cork Institute of Technology,False, Interior Architecture
TA021,2009,170, Institute of Technology Tallaght,False, European Studies
TA022,2009,300, Institute of Technology Tallaght,False, Creative Digital Media
TA023,2009,245, Institute of Technology Tallaght,False, Advertising and Marketing Communications
TA025,2009,340, Institute of Technology Tallaght,False, Social Care Practice
CK704,2009,510, University College Cork (NUI),False, Occupational Therapy
CK705,2009,495, University College Cork (NUI),False, Speech and Language Therapy
CK706,2009,385, University College Cork (NUI),False, Public Health and Health Promotion
CK702,2009,575, University College Cork (NUI),False, Dentistry
CK703,2009,545, University College Cork (NUI),False, Pharmacy
GC494,2009,260, Griffith College,True, Fashion Design Dublin
TR019,2009,470, Trinity College,False, Law and German
GY527,2009,173, National University of Ireland Galway,True, Mature Applicants Midwifery
TR010,2009,435, Trinity College,False, Computer Science Linguistics and German
TR011,2009,550, Trinity College,False, Computer Science Linguistics and French
TR012,2009,500, Trinity College,False, History and Political Science
TR013,2009,nan, Trinity College,False," Computer Science Linguistics and Irish
"
CW928,2009,265, Institute of Technology Carlow,False, Business Human Resource Management
TR015,2009,515, Trinity College,False, Philosophy Political Science Economics and Sociology
TR017,2009,555, Trinity College,False, Law and Business
GY525,2009,173, National University of Ireland Galway,True, Mature Applicants General Nursing Galway and Portiuncula
LM099,2009,460, University of Limerick,True, Architecture
LM098,2009,370, University of Limerick,False, Languages with concurrent Teacher Education
LM050,2009,385, University of Limerick,False, Business Studies
LM095,2009,420, University of Limerick,False, Materials and Engineering Technology with concurrent Teacher
LM094,2009,445, University of Limerick,False, BTechEducation Materials and Architectural Technology
LM096,2009,460, University of Limerick,False, Science with concurrent Teacher Education Physics and Chemi
CR660,2009,255, Cork Institute of Technology,False, Tourism
AH001,2009,175, All Hallows,False, Theology and Philosophy
AH002,2009,340, All Hallows,False, Theology and Psychology
AH003,2009,310, All Hallows,False, Theology and English Literature
DC127,2009,410, Dublin City University,False, ActuarialFinancial and Mathematical Sciences common entry
DC126,2009,485, Dublin City University,False, Actuarial Mathematics
CR112,2009,325, Cork Institute of Technology,False, Multimedia
DC121,2009,315, Dublin City University,False, Computer Applications
DC120,2009,335, Dublin City University,False, Enterprise Computing
TL160,2009,360, Institute of Technology Tralee,False, Early Childhood Care and Education
GA980,2009,415, Galway-Mayo Institute of Technology,False, Design and Technology Education
AS004,2009,450, St. Angela`s College,False, Home Economics and EconomicsConsumer Studies second level
AS001,2009,470, St. Angela`s College,False, Home Economics and Biology second level teaching
AS003,2009,450, St. Angela`s College,False, Home Economics and Irish second level teaching
AS002,2009,450, St. Angela`s College,False, Home Economics and Religious Education second level teachi
GY101,2009,355, National University of Ireland Galway,False, Arts
DC192,2009,380, Dublin City University,False, Information and Communications Engineering
DC193,2009,355, Dublin City University,False, Mechatronic Engineering
DC191,2009,340, Dublin City University,False, Electronic Engineering
DC196,2009,350, Dublin City University,False, Manufacturing Engineering with Business Studies
DC197,2009,325, Dublin City University,False, Biomedical Engineering
DC195,2009,335, Dublin City University,False, Mechanical and Manufacturing Engineering
CW818,2009,285, Institute of Technology Carlow,False, Accounting
DT343,2009,330, Dublin Institute of Technology,False, Retail and Services Management
DT341,2009,375, Dublin Institute of Technology,False, Marketing
TR093,2009,385, Trinity College,True, General Nursing Adelaide School of Nursing
GC200,2009,nan, Griffith College,False," Business Studies Cork
"
DN069,2009,350, University College Dublin (NUI),False, Arts International Modern Languages
DN061,2009,465, University College Dublin (NUI),False, History Politics and International Relations
TR014,2009,485, Trinity College,False, Philosophy and Political Science
DN063,2009,415, University College Dublin (NUI),False, Geography Planning and Environmental Policy
DN062,2009,445, University College Dublin (NUI),False, Economics and Politics
DN065,2009,500, University College Dublin (NUI),False, Law with Politics
DN064,2009,395, University College Dublin (NUI),False, Drama and English
DN067,2009,500, University College Dublin (NUI),False, Law with Economics
DN066,2009,505, University College Dublin (NUI),False, Law with Philosophy
TL110,2009,400, Institute of Technology Tralee,False, General Nursing
PC412,2009,nan, Carlow College,False," English and Spanish
"
PC411,2009,290, Carlow College,False, English and History
PC410,2009,285, Carlow College,False, Humanities
GA181,2009,300, Galway-Mayo Institute of Technology,False, Accounting
DK815,2009,265, Dundalk Institute of Technology,False, Public Relations
DK875,2009,156, Dundalk Institute of Technology,True, Mature Applicants Psychiatric Nursing
DK874,2009,350, Dundalk Institute of Technology,False, Psychiatric Nursing
DN096,2009,425, University College Dublin (NUI),False, Health and Performance Science
