DN071  Chemical Engineering                                 435      510      42                         
DN072  Civil Engineering                                    445      465      34                         
DN073  Electronic Eng or Electrical Eng                   360      455      35                         
DN074  Mechanical Engineering                               440*     470      41                         
DN075  Civil Engineering or Mechanical Eng                 470      510      56                         
DN105  Veterinary Medicine  Graduate Entry                 #        #        6                          
DK104  Accounting  Finance                                 275      340      78                         
DK106  Business Studies  Marketing  eBusiness            270      330      42                         
DK108  Computing  Internet Technologies                   240      310      14                         
DK109  Building Surveying                                   200      305      22                         
DK206  Business Studies  Marketing  French                290      350      13                         
DK208  Computing Internet Technologies with French        No offers         1                          
DK306  Business Studies  Marketing  German                270      310      4                          
DK308  Computing Internet Technologies with German        310      310      0                          
GA144  Gn agus Cumarsaid                                   270      375      9                          
GA247  Theological Studies  Bus Practice                  245      325      22                         
GA319  HotelCatering Mgt                                  250      320      42                         
GA442  Construction Management                              350      375      41                         
GA620  Manufacturing Tech                                  225      330      9                          
GY101  Arts                                                 400      430      1025                       
GY102  Arts St Angelas                                  335      355      35                         
GY103  Arts Public  Social Policy                        375      385      48                         
GY104  Arts  Psychology                                   545      550      18                         
GY201  Commerce                                             425      450      312                        
GY202  Commerce with French                                 490      515      17                         
GY203  Commerce with German                                 370      420      14                         
GY204  Commerce with Spanish                                390      415      13                         
GY205  Commerce with Italian                                355      435      7                          
GY206  Business Information Systems                         395      420      26                         
GY250  Corporate Law                                        480      495      83                         
GY251  Bachelor of Civil Law  BCL                      515      530      46                         
GY301  Science                                              320*     385      351                        
GY302  PhysicsElectronics                                  320      365      13                         
GY303  Biomedical Science                                   490      510      29                         
GY304  Biotechnology                                        420*     470      31                         
GY306  Computing Studies                                    290      380      12                         
GY307  Earth Sciences                                       325      350      20                         
GY308  Environmental Science                                380      420      25                         
GY309  Financial Mathematics and Econs                     460      495      26                         
GY310  Marine Science                                       360*     395      32                         
GY312  Physics and Astronomy                                405      480      20                         
GY313  Health and Safety Systems                            380      400      23                         
GY350  Information Technology                               225      375      83                         
GY401  Engineering Undenominated                          460      490      59                         
GY402  Civil Engineering                                    470      500      49                         
GY403  Electronic Engineering                               395      455      12                         
GY404  Industrial Engineering                               320      415      5                          
GY405  Mechanical Engineering                               430      450      33                         
GY406  Electronic  Computer Engineering                    410      505      30                         
GY407  Mngt Engineering with Language                      370      395      4                          
GY408  Biomedical Engineering                               475      495      19                         
GY409  Environmental Engineering                            450      460      12                         
GY501  Medicine                                             550*     565      55                         
LY151  Computing with Data Communications                   170      330                                 
LC331  Software Development                                 290      325      26                         
LC341  Multi Media  Computing  Design                    330      360      38                         
LC471  Quantity Surveying                                   370      390      59                         
LC481  Valuation Surveying                                  345      360      32                         
LC491  Construction Management                              330      350      37                         
LC641  Business Studies  Tourism                          330      355      38                         
LC651  Science Pharmaceutical  Forensic Analysis         430      460      33                         
MI005  Mary Immaculate                                      440*     475      361                        
