                                 ADMISSION DATA 2013
                                      Level 7/6

              The details given are for general information only and do not
               form part of any contract. They are not intended for use in
                determining whether any individual applicant is or is not
                     entitled to an offer of a higher education place

    *         Not all on this points score were offered places
    #         Test / Interview / Portfolio etc.
   AQA        All qualified applicants
    v         New competition for Available/Vacant Places
    +         Includes Project / Portfolio Score
              Notes: The final points column shows the lowest points score
              achieved by an applicant who received an offer of a place on
              the course. The mid point is the points score of the applicant
              in the middle of a list of offerees placed in points score order.
              Applicants who are offered places might not necessarily
              accept a place. In most cases, the points scores shown here
              are based on performance in the Leaving Certificate.
              Applicants offered on mature grounds are not accounted for
              in this chart, with the exception of applicants for Mature Code
              nursing courses.
Course Code                    INSTITUTION and COURSE                             Final   Mid point
LC504   Creative Multimedia (Clonmel)                                   150   295
LC511   Marketing with Languages (Clonmel)                              145   390
LC514   Creative Multimedia (Clonmel)                                   145   280
                         UNIVERSITY OF LIMERICK
LM180   Equine Science                                                  315   385
                                 IT SLIGO
SG101   Business                                                       AQA    245
SG105   Business in Office Administration                              AQA    205
SG108   Business in Accounting                                          120   325
SG131   Computing - Games Development                                   240   315
SG134   Recreation and Leisure                                          290   335
SG135   Business in Tourism with Event Management                       140   245
SG136   Computing - Software Development                                250   335
SG137   Computing - Systems and Networking                              250   295
SG231   Fine Art                                                       690+   830
SG232   Creative Design and Innovation                                  140   260
SG332   Advanced Wood and Sustainable Building Technology               145   300
SG333   Mechanical Engineering                                          145   290
SG334   Mechatronics                                                    145   265
SG335   Environmental Engineering                                       165   315
SG337   Electronic Engineering                                          150   220
SG338   Civil Engineering                                               155   285
SG401   Science                                                         100   265
SG431   Pharmaceutical Science with Drug Development                    245   330
SG432   Environmental Protection                                        230   320
SG433   Occupational Safety and Health                                  245   310
SG435   Health Science and Physiology                                   355   420
SG436   Biomedical Science                                              230   385
SG437   Forensic Investigation and Analysis                     235    345
SG438   Applied Archaeology                                     140    340
SG531   Marketing - P.R. with Events Management                 145    290
SG532   Marketing with Languages                                165    350
SG533   Marketing                                               140    295
SG536   Business                                                145    295
SG538   Web Development and Creative Media                      140    245
                            ST ANGELAS SLIGO
AS201   Applied Science in Food and Business Management         285    350
                                  IT TRALEE
TL605   Business Studies (Office Information Systems)            185   255
TL620   Culinary Arts                                            135   210
TL621   Hospitality Studies                                     AQA    195
TL630   Advanced Business Studies                                460   465
TL651   Science (Biological and Environmental Studies)           270   375
TL700   Social Media and Web Technologies
TL710   Computing with Software Development                     200    305
TL711   Computing with Games Development                        210    315
TL712   Computing with Multimedia                               210    290
TL714   Computing with Mobile App Development                   210    310
TL719   Culinary Arts                                           250    335
TL720   Travel and Tourism Management                           205    255
TL721   Adventure Tourism Management                            230    350
TL722   Hotel Management                                        250    425
TL731   Business                                                200    365
TL733   International Business
TL743   Advanced Wood Technology and Sustainable Construction   200    300
TL744   Agricultural Engineering                                240    305
TL745   Civil and Environmental Engineering                     200    330
TL746   Energy Technology and the Built Environment             230    365
TL747   Engineering                                             220    335
TL748   Agricultural Science                                    310    385
TL749   Food Science with Innovation                            305    430
TL753   Pharmaceutical Analysis with Forensics                  245    395
TL754   Pharmaceutical Analysis with Environmental Science      335    385
TL771   Health and Leisure                                      295    390
TL772   Health and Leisure with Massage                         290    355
TL780   Early Childhood Care and Education                      280    350
TL781   Social Care                                             280    340
TL782   Youth and Community Work Practice                       285    325
                               WATERFORD IT
WD003   Business                                                200    345
WD010   Electronic Engineering                                  205    370
WD011   Mechanical Engineering                                  200    295
WD013   Legal Studies                                           205    295
WD018   Applied Social Studies in Social Care                   300    360
WD019   Recreation and Sport Management                         285    345
WD040   Building Services Engineering                           215    300
WD076   Forestry                                                295    365
WD078   Agricultural Science                                    410    460
WD094   Architectural Technology                                215    385
WD096   Horticulture (Waterford - Kildalton)                    220    285
WD097   Horticulture (Dublin - National Botanic Gardens)        205    305
WD126   Agriculture                                             380    400
WD139   Civil Engineering                                  200   315
WD151   Software Systems Development                       200   285
WD153   Multimedia Applications Development                205   300
WD155   Information Technology                             200   300
WD159   Business                                           200   330
WD164   Food Science with Business                         255   360
WD172   Culinary Arts                                      220   285
WD173   Hospitality Studies                                205   265
WD174   Tourism                                            210   275
WD175   Pharmaceutical Science                             300   385
WD176   Applied Biology                                    335   420
WD177   Science (Agri. Pharm. Food Sci. Applied Biology)   355   410
WD182   Electrical Engineering                             215   290
WD184   Retail Management                                  205   290

